principal,variantes
"señora (género, femenino)",senorita
"señora (género, femenino)",señorita
"señora (género, femenino)",senora
"señora (género, femenino)",seniora
"señora (género, femenino)",dama
"señora (género, femenino)",damas
"señora (género, femenino)",señora
"señora (género, femenino)",doña
"señora (género, femenino)",dona
"chico (género, masculino)",boy
"chico (género, masculino)",boys
"chico (género, masculino)",nino
"chico (género, masculino)",ninos
"chico (género, masculino)",niño
"chico (género, masculino)",niños
"chico (género, masculino)",chico
"chico (género, masculino)",chicos
"hombre (género, masculino)",man
"hombre (género, masculino)",men
"hombre (género, masculino)",hombre
"hombre (género, masculino)",hombres
"señor (género, masculino)",gentlemen
"señor (género, masculino)",gentleman
"señor (género, masculino)",caballero
"señor (género, masculino)",senorito
"señor (género, masculino)",señorito
"señor (género, masculino)",senor
"señor (género, masculino)",senior
"señor (género, masculino)",señor
"señor (género, masculino)",don
"aguador (oficio, campo y ciudad)",water carrier
"aguador (oficio, campo y ciudad)",water carriers
"aguador (oficio, campo y ciudad)",aguador
"aguador (oficio, campo y ciudad)",aguadores
"arriero (oficio, campo y ciudad)",muleteer
"arriero (oficio, campo y ciudad)",arriero
"arriero (oficio, campo y ciudad)",arrieros
"arriero (oficio, campo y ciudad)",muleteers
"barbero (oficio, campo y ciudad)",barber
"barbero (oficio, campo y ciudad)",barbers
"barbero (oficio, campo y ciudad)",barbero
"barbero (oficio, campo y ciudad)",barberos
"buñolero (oficio, campo y ciudad)",fritter
"buñolero (oficio, campo y ciudad)",fritters
"buñolero (oficio, campo y ciudad)",bunolero
"buñolero (oficio, campo y ciudad)",bunoleros
"buñolero (oficio, campo y ciudad)",buñolero
"campesino (oficio, campo y ciudad)",peasant
"campesino (oficio, campo y ciudad)",peasants
"campesino (oficio, campo y ciudad)",campesino
"campesino (oficio, campo y ciudad)",campesinos
"cantaor (oficio, campo y ciudad)",cantaor
"cantaor (oficio, campo y ciudad)",cantaores
"cantaora (oficio, campo y ciudad)",cantaora
"cantaora (oficio, campo y ciudad)",cantaoras
"cigarrera (oficio, campo y ciudad)",cigarette seller
"cigarrera (oficio, campo y ciudad)",cigar maker
"cigarrera (oficio, campo y ciudad)",cigar makers
"cigarrera (oficio, campo y ciudad)",cigarette-maker
"cigarrera (oficio, campo y ciudad)",cigarette-makers
"cigarrera (oficio, campo y ciudad)",cigarrera
"cigarrera (oficio, campo y ciudad)",cigarreras
"ganadero (oficio, campo y ciudad)",breeder
"ganadero (oficio, campo y ciudad)",breeders
"ganadero (oficio, campo y ciudad)",ganadero
"ganadero (oficio, campo y ciudad)",ganaderos
"ganadero (oficio, campo y ciudad)",miura
"hacedor (oficio, campo y ciudad)",maker
"hacedor (oficio, campo y ciudad)",makers
"pescador (oficio, campo y ciudad)",fisherman
"pescador (oficio, campo y ciudad)",fisher
"pescador (oficio, campo y ciudad)",fishers
"pescadora (oficio, campo y ciudad)",fishergirl
"pescadora (oficio, campo y ciudad)",fisher girl
"jardinero (oficio, campo y ciudad)",gardeners
"jardinero (oficio, campo y ciudad)",gardener
"jardinero (oficio, campo y ciudad)",jardinero
"jardinero (oficio, campo y ciudad)",jardineros
"lechero (oficio, campo y ciudad)",milkman
"lechero (oficio, campo y ciudad)",lechero
"pastor (oficio, campo y ciudad)",shepherd
"pastor (oficio, campo y ciudad)",shepherds
"pastor (oficio, campo y ciudad)",pastor
"pastor (oficio, campo y ciudad)",pastores
"posadero (oficio, campo y ciudad)",innkeeper
"posadero (oficio, campo y ciudad)",innkeepers
"posadero (oficio, campo y ciudad)",posadero
"vendedor (oficio, campo y ciudad)",seller
"vendedor (oficio, campo y ciudad)",sellers
"vendedor (oficio, campo y ciudad)",vendedor
"peinadora (oficio, campo y ciudad)",peinadora
"torero  (oficio, toreo)",bullfighter
"torero  (oficio, toreo)",bullfighters
"torero  (oficio, toreo)",torero
"torero  (oficio, toreo)",toreros
"matador (oficio, toreo)",matador
"banderillero  (oficio, toreo)",banderillero
"banderillero  (oficio, toreo)",banderilleros
"cuadrilla  (oficio, toreo)",cuadrilla
"cuadrilla  (oficio, toreo)",cuadrillas
"picador  (oficio, toreo)",picador
"picador  (oficio, toreo)",picadors
"picador  (oficio, toreo)",picadores
"guardia civil (oficio, seguridad)",guardia civil
"guardia civil (oficio, seguridad)",guardias civiles
"guardia civil (oficio, seguridad)",civil guard
"guardia civil (oficio, seguridad)",civils guards
"sereno (oficio, seguridad)",watchman
"sereno (oficio, seguridad)",watchmen
"sereno (oficio, seguridad)",sereno
"sereno (oficio, seguridad)",serenos
"alguacil (oficio, seguridad)",alguacil
"alguacil (oficio, seguridad)",alguaciles
"alguacil (oficio, seguridad)",bailiff
"alguacil (oficio, seguridad)",bailiffs
"policia (oficio, seguridad)",police
"policia (oficio, seguridad)",policia
"policia (oficio, seguridad)",polices
"bandolero (grupos, interno)",bandit
"bandolero (grupos, interno)",bandits
"bandolero (grupos, interno)",bandolero
"bandolero (grupos, interno)",contrabandista
"bandolero (grupos, interno)",contrabandist
"bandolero (grupos, interno)",pernales
"gitano (grupos, interno)",gypsy
"gitano (grupos, interno)",gipsy
"gitano (grupos, interno)",gipsies
"gitano (grupos, interno)",gypsies
"gitano (grupos, interno)",gitano
"gitano (grupos, interno)",gitanos
"gitano (grupos, interno)",gitana
"gitano (grupos, interno)",gitanas
"mendigo (grupos, interno)",beggar
"mendigo (grupos, interno)",beggars
"mendigo (grupos, interno)",mendicant
"mendigo (grupos, interno)",mendicants
"mendigo (grupos, interno)",mendigo
"mendigo (grupos, interno)",mendigos
"vagabundo (grupos, interno)",tramp
"vagabundo (grupos, interno)",tramps
"vagabundo (grupos, interno)",vagabundo
"vagabundo (grupos, interno)",vagabundos
"vagabundo (grupos, interno)",vagabond
"vagabundo (grupos, interno)",vagabonds
"vagabundo (grupos, interno)",vagrant
"vagabundo (grupos, interno)",vagrants
"carmen (grupos, interno)",carmen
"árabe (grupos, externo)",arab
"árabe (grupos, externo)",arabs
"árabe (grupos, externo)",arabic
"árabe (grupos, externo)",arabics
"árabe (grupos, externo)",arabian
"árabe (grupos, externo)",arabians
"árabe (grupos, externo)",árabe
"árabe (grupos, externo)",árabes
"árabe (grupos, externo)",arabe
"árabe (grupos, externo)",arabes
"musulmán (grupos, externo)",muslim
"musulmán (grupos, externo)",muslims
"musulmán (grupos, externo)",moslems
"musulmán (grupos, externo)",moslem
"musulmán (grupos, externo)",musulmán
"musulmán (grupos, externo)",musulman
"musulmán (grupos, externo)",musulmanes
"moro (grupos, externo)",moor
"moro (grupos, externo)",moro
"moro (grupos, externo)",moros
"moro (grupos, externo)",moors
"moro (grupos, externo)",moorish
"oriental (grupos, externo)",orientalism
"oriental (grupos, externo)",orientalismo
"oriental (grupos, externo)",oriental
"oriental (grupos, externo)",oriente
"oriental (grupos, externo)",orient
"baile (fiestas, feria y carnaval)",dance
"baile (fiestas, feria y carnaval)",baile
"malagueñas (fiestas, feria y carnaval)",malagueñas
"malagueñas (fiestas, feria y carnaval)",malaguenas
"sevillanas (fiestas, feria y carnaval)",sevillanas
"zarzuela (fiestas, feria y carnaval)",zarzuela
"zarzuela (fiestas, feria y carnaval)",zarzuelas
"bolero (fiestas, feria y carnaval)",bolero
"bolero (fiestas, feria y carnaval)",boleros
"fandango (fiestas, feria y carnaval)",fandango
"fandango (fiestas, feria y carnaval)",fandangos
"flamenco (fiestas, feria y carnaval)",flamenco
"flamenco (fiestas, feria y carnaval)",flamencos
"flamenco (fiestas, feria y carnaval)",flamenca
"flamenco (fiestas, feria y carnaval)",flamencas
"carnaval  (fiestas, feria y carnaval)",carnival
"carnaval  (fiestas, feria y carnaval)",carnaval
"pasodoble (fiestas, feria y carnaval)",pasodoble
"pasodoble (fiestas, feria y carnaval)",paso doble
"chirigota (fiestas, feria y carnaval)",chirigota
"murga (fiestas, feria y carnaval)",murga
"copla  (fiestas, feria y carnaval)",copla
"copla  (fiestas, feria y carnaval)",coplas
"caseta (fiestas, feria y carnaval)",caseta
"caseta (fiestas, feria y carnaval)",casetas
"feria  (fiestas, feria y carnaval)",fair
"feria  (fiestas, feria y carnaval)",fairs
"feria  (fiestas, feria y carnaval)",fête
"feria  (fiestas, feria y carnaval)",feria
"feria  (fiestas, feria y carnaval)",ferias
"corpus christi  (fiestas, religión)",corpus christi
"via crucis  (fiestas, religión)",via crucis
"procesión (fiestas, religión)",procession
"procesión (fiestas, religión)",procesión
"procesión (fiestas, religión)",procesion
"procesión (fiestas, religión)",pageant
"procesión (fiestas, religión)",pageants
"procesión (fiestas, religión)",procesiones
"romería (fiestas, religión)",pilgrim
"romería (fiestas, religión)",piligrims
"romería (fiestas, religión)",romeria
"romería (fiestas, religión)",romerias
"romería (fiestas, religión)",romería
"semana santa  (fiestas, religión)",holy week
"semana santa  (fiestas, religión)",passion week
"semana santa  (fiestas, religión)",semana santa
"cofradia (fiestas, religión)",cofradia
"cofradia (fiestas, religión)",cofradía
"cofradia (fiestas, religión)",cofradias
"trono (fiestas, religión)",trono
"trono (fiestas, religión)",tronos
"paso (fiestas, religión)",paso
"paso (fiestas, religión)",pasos
"nazareno (fiestas, religión)",nazareno
"nazareno (fiestas, religión)",nazarenos
"novillada (fiestas, toreo)",novillada
"novillada (fiestas, toreo)",novilladas
"encierro (fiestas, toreo)",encierro
"encierro (fiestas, toreo)",encierros
"corrida/toreo (fiestas, toreo)",corrida
"corrida/toreo (fiestas, toreo)",bullfighting
"corrida/toreo (fiestas, toreo)",bullfightings
"corrida/toreo (fiestas, toreo)",bull-fighting
"corrida/toreo (fiestas, toreo)",bull-fightings
"corrida/toreo (fiestas, toreo)",bull-fight
"corrida/toreo (fiestas, toreo)",bullfight
"corrida/toreo (fiestas, toreo)",bullfights
"corrida/toreo (fiestas, toreo)",bull-fights
"corrida/toreo (fiestas, toreo)",toreo
"corrida/toreo (fiestas, toreo)",torear
